titulo,url_cart
"Shop dos Cabelos",shopdoscabelos.com.br/checkout
Shoptimao,shoptimao.com.br/cart|shoptimao.com.br/checkout
"Clube do Ricardo",clubedoricardo.com.br/Carrinho
"Specialità Lingerie",
Satina,satina.com.br/checkout/cart/
Sonoma,sonoma.com.br/carrinho
"Sou Barato",sacola.soubarato.com.br
MegaTNT,
"Ploft Kids",
taQi,taqi.com.br/carrinho
"Tok Stok",tokstok.com.br/checkout#/cart
"Valor Econômico",
Wishoes,
Webfones,buscape.com.br/meu-carrinho
Tim,
"Compra Certa",loja.compracerta.com.br/checkout
Gazin,gazinshop.com.br/comprar/carrinho.php
KitchenAid,kitchenaid.com.br/checkout/
"Estrela 10",estrela10.com.br/carrinho
"Eletro Shopping",
"Camisaria Colombo",camisariacolombo.com.br/checkout
Olympus,
"Loja Vivo",
"Acqua Perfumes",
"Km de Vantagens",
Dzarm,dzarm.com.br/store/pt/cart
"Farma Delivery",www.farmadelivery.com.br/checkout/cart/
"Droga Raia",drogaraia.com.br/checkout/
"Microsoft Store",microsoft.com/pt-br/store/buy/cart|microsoft.com/pt-br/store/buy?route=cart
"Portal Educação",
Schutz,schutz.com.br/store/cart
AMARO,amaro.com/checkout
iba,
"Mondial Travel",cotacao.mondialtravel.com.br/Passageiros
Hotelopia,
Sommer,
Colcci,
OculosWorld,oculosworld.com.br/cart
Tmart,secure.tmart.com/users/cart
"Body Building",
"Livraria Martins Fontes",martinsfontespaulista.com.br/basket/index.aspx
TVZ,tvz.com.br/checkout
Rabixo,
SexToy,
Puket,cart.puket.com.br/
Puc,puc.com.br/store/pt/login/checkout
"Super Muffato",supermuffato.com.br/checkout
Netbabys,
"Abra Cadabra",abracadabra.com.br/site/sacola.cfm
Accessorize,
Adidas,
"Agora Saúde",
"Água de Cheiro",
"Alex Shoes",
"All Bags",allbags.com.br/checkout
"Authentic Feet",www.authenticfeet.com.br/checkout#/cart
"Alugue Temporada",
"American Eagle",
Antix,
"Any Any",
AOC,carrinho.aocloja.com.br/
"Assist-Med Brasil",
Babyou,
Bagaggio,www.bagaggio.com.br/basket/index.aspx
Barateiro,carrinho.barateiro.com.br
"Boa Coisa",boacoisa.com.br/checkout#/cart
Bobstore,mariavalentina.com.br/basket/
Bololô,bololo.com.br/checkout/
Bonprix,bonprix.com.br/cart.htm
Camicado,camicado.com.br/checkout
Cantão,www.cantao.com.br/
Caos,www.lojacaos.com.br/checkout
Capodarte,www.capodarte.com.br/checkout/#/cart
C&A,
Cavalera,cavalera.com.br/checkout/
"Central Ar",centralar.com.br/loja/CestadeCompra.php
"Cerveja Store",http://www.cervejastore.com.br/meu-carrinho/
"Clube do Malte",checkout.clubedomalte.com.br/
Cobasi,cobasi.com.br/checkout/#/cart
"Clicou Comprou",
ContaAzul,
Tanlup,
"Corpo Ideal",corpoidealsuplementos.com.br/compra/carrinho
Decathlon,
Datelli,
"Deal Extreme",cart.dx.com|dx.com/cart
DHgate,
Dinda,dinda.com.br/pedidos/sacola
"Dress to",
Doural,doural.com.br/checkout/
eClock,eclock.com.br/checkout/cart/
"Editora Foco",editorafoco.com.br/meu-carrinho
Ellus,store.ellus.com/carrinho
Enjoei,
Farm,farmrio.com.br/checkout
"Esporte Interativo Plus",
"Estante Virtual",
Expedia,expedia.com.br/FlightCheckout|expedia.com.br/HotelCheckout|expedia.com.br/PackageCheckout|expedia.com.br/CarCheckout|expedia.com.br/LXCheckout|expedia.com.br/MultiItemCheckout
FastGames,www.fastgames.com.br/checkout/
Feelunique,eu.feelunique.com/shop/basket
"Francisca Joias",franciscajoias.com.br/checkout
"Gilimoto Designs",
Glambox,glambox.com.br/assinatura/assinar/
"Hope Lingerie",hopelingerie.com.br/basket
"Hopi Hari",
HP,carrinho.lojahp.com.br
Humanitarian,
iTunes,
Jogê,
"Jóias Vip",
Kallan,
"Lojas Rede",www.lojasrede.com.br/checkout/#/cart
Lufthansa,book.lufthansa.com/
"Lulean Jóias",joiaslulean.com.br/checkout/
MadeiraMadeira,madeiramadeira.com.br/carrinho
"Magazine 25",magazine25.com.br/carrinho
"Mala Pronta",
Malwee,cart.malwee.com.br/cart/products
"Meu Espelho",
Milano,milano.com.br/checkout/
Melissa,
"Mercado Livre",
MMartan,mmartan.com.br/checkout
MultiStock,
"Mundi ",
"Óculos Shop",oculosshop.com.br/checkout/
"Óculos Web",
OQVestir,oqvestir.com.br/sacola/meusprodutos
"Paquetá Esportes",paquetaesportes.com.br/checkout
Panvel,
Outback,
Osklen,osklen.com.br/checkout
Phooto!,phooto.com.br/carrinho-de-compras/
"Premier Cosméticos",
Redley,www.redley.com.br/
Richards,richards.com.br/carrinho|richards.com.br/secure/pedido
Rudge,
"Saldão da Informática",saldaodainformatica.com.br/checkout/
"Salinas ",salinas-rio.com.br/carrinho
"Sandro Moscoloni",sandromoscoloni.com.br/basket/
Shopluxo,shopluxo.com.br/checkout/
ShopFisio,www.shopfisio.com.br/carrinho
"Site dos Pés",sitedospes.com.br/checkout/
"Só Suplementos",sosuplementos.com.br/checkout/
Taco,taco.com.br/checkout
"Tickets for Fun",
"The Beauty Box",thebeautybox.com.br/checkout
"The North Face",thenorthface.com.br/checkout/
Trifil,
TNG,tng.com.br/checkout/
TinyDeal,cart.tinydeal.com/index.php
Uatt?,uatt.com.br/checkout
"UOL Antivírus",
"Urban Outfitters",
"Loja Virus 41",checkout.lojavirus.com.br
VR,vr-oficial.com.br/carrinho
Voopter,
"World Tennis",wtennis.com.br/checkout/
"Clube da Lu",
Celsite,
"Madrugão Suplementos",www.madrugaosuplementos.com.br/checkout/cart/
SportHall,
"KLM Royal Dutch",klm.com/ams/checkout-beta
Gurivéio,www.guriveio.com.br/checkout/cart
"Marcelo Smart",
Sofitel,
Artwalk,artwalk.com.br/checkout
"Sare Drogarias",
"Terra AntiVirus",servicos.terra.com.br/antivirus
"Nescafé Dolce Gusto",nescafe-dolcegusto.com.br/checkout/
Descomplica,checkout.descomplica.com.br/|descomplica.com.br/planos/#payment
"Czech Airlines",booking.csa.cz
Sony,
"Prata Fina",pratafina.com.br/checkout/cart/
"Par Perfeito",parperfeito.com.br/cpx
Destinia,res.destinia.com
Catho,
"Anna Pegova",annapegova.com.br/basket.aspx|annapegova.com.br/shipping.aspx
"Loja Porta dos Fundos",
LIVO,
Iberia,
NicePhotos,pagamento.nicephotos.com.br/Checkout
"Oi TV",
Metlife,
Malamix,
Salfer,
"Loja Mulher",
"Joias Gold",joiasgold.com.br/checkout/#/cart
Shop2gether,shop2gether.com.br/checkout/
Printi,www.printi.com.br/meu-carrinho
"MXT Shop",mxtshop.com.br/basket/
"Oficina dos Bits",
FocalPrice,
Nike,checkout.nike.com.br/carrinho
"Fast Runner",fastrunner.com.br/carrinho
Asos,asos.com/bag/|marketplace.asos.com/basket
AliExpress,shoppingcart.aliexpress.com/
DepositPhotos,br.depositphotos.com/subscribe
"Be Little",
"Abra Casa",abracasa.com.br/checkout
ClickBus,www.clickbus.com.br/checkout
Capitollium,checkout.capitollium.com.br
"Monster Sports",
iHerb,checkout7.iherb.com/cart
Motoside,
Timex,timex.com.br/checkout/
"Costa do Sauípe",
FotoRegistro,fotoregistro.com.br/caritens.php
Fathead,
Cyberswim,
"GSN Suplementos",
Iberostar,
"Sensual Sexshop",
"Rail Europe",
"Book Depository",bookdepository.com/basket
HostelsClub,
"Merchandising Plaza",merchandisingplaza.com.br/basket
"Parques e Ingressos",
"Solar Presentes",
"Men's Market",mensmarket.com.br/cart
"Air France",
"AVG Technologies",
"Avis ",
Bullguard,
HootSuite,
"Paris City Vision",
FutFanatics,futfanatics.com.br/loja/carrinho.php
Elare,elare.com.br/carrinho
Celmáquinas,
Liquidae,
Qatar,booking.qatarairways.com
SonicoTrip,
MPozenato,checkout.mpozenato.com.br/
"Bang Good",www.banggood.com/pt/shopping_cart|www.banggood.com/shopping_cart
"La Bella Mafia",
"Pet na Net",
Macys,macys.com/bag/
Vivara,vivara.com.br/carrinho
"Bidu Corretora",
"Loja do Prazer",lojadoprazer.com.br/AddProduto.asp
"Decola Já",
Wish,
"Nature Center",www.naturecenter.com.br/checkout/
"Ricardo Eletro Viagens",
Itaro,itaro.com.br/cart
"Leandro Twin Store",
"Dispemec Auto Peça",
"Camiseta Digital",
"Intima Store",intimastore.com.br/AddProduto.asp
Romwe,romwe.com/cart
Deezer,
eContabilista,
Everbuying,
TomTop,cart.tomtop.com/
"Mundo dos Óleos",
Havan,havan.com.br/checkout/
"Lojas Lebes",
"Novo Mundo",novomundo.com.br/checkout/
Zamax,
Hotel.Info,
Clickaê,
"Projeto Verão",lojaprojetoverao.com.br/checkout/#/cart
Evino,evino.com.br/cart
ShopBop,
"Chain Reaction Cycles",chainreactioncycles.com/basket
ChefsClub,chefsclub.com.br/checkout/
bebe,
"Revista Seleções",
A1Supplements,
LighTake,
HostelWorld,
"Auto Parts Warehouse",
"Herbs Pro",
"Beauty Bridge",
"Ami Clubwear",
iPlace,lojaiplace.com.br/iPlace/carrinho
Mundomax,
"Ada Tina",
"Água de Coco",
Animale,animale.com.br/checkout/
ATEEN,ateen.com.br/checkout/
Billabong,
"Body for sure",www.bodyforsure.com.br/checkout
BodyAction,
"Look Store",
"Calvin Klein",calvinklein.com.br/checkout
"Canal Concept",
"Disney Store",
Cecconello,
"Cia Maritima",ciamaritima.com.br/checkout
Cinerama,
Columbia,
"Cris Barros",
Darling,
Desigual,
Ecko,
Element,shop.elementbrand.com.br/checkout/
Eudora,loja.eudora.com.br/checkout
"Sex Desejo",
"Camila Klein",
"Azul Viagens",azulviagens.com.br/packages/booking|azulviagens.com.br/cars/booking|azulviagens.com.br/hotels/booking
Clinique,clinique.com.br/checkout/viewcart.tmpl
TripAdvisor,
"Loja do Inter",lojadointer.com.br/cart
"Loja NBA",
"Sao Paulo Mania",saopaulomania.com.br/cart|saopaulomania.com.br/checkout
"UFC Store",
"Santos Store",
"Loja Mizuno",
Timberland,www.timberland.com.br/checkout#/cart
Shutterstock,shutterstock.com/checkout/
RVCA,
"quem disse, berenice?",quemdisseberenice.com.br/checkout
"New York Pass",
Modekungen,
Payleven,
Amissima,amissima.com.br/basket/index.aspx
Live,
"Nina Bruni",ninabruni.com/checkout/
"About Home",abouthome.com.br/meu-carrinho/
Europcar,europcar.pt/DotcarClient/stepExtras.action
Drill,
"Rent Cars",rentcars.com/pt-br/reserva/configurar
eShop24,
"Nova Concursos",novaconcursos.com.br/checkout/
"Gorila Clube",
Elo7,elo7.com.br/cart.do
EVitamins,evitamins.com/waitcheck.asp
Lookfantastic,lookfantastic.com/my.basket
"1001 Festas",
"The Hut International",thehut.com/my.basket
ProBikeKit,probikekit.co.uk/my.basket
"Lego Brasil",legobrasil.com.br/checkout/
"Super Nosso em Casa",
"Rose Wholesale",cart.rosewholesale.com/m-flow-a-cart.htm
"Online Farma",
Oasap,
Choies,choies.com/
"Beauty Outlet",
"Sierra Trading Post",
"New Frog",newfrog.com/checkout
Avell,avell.com.br/checkout/
"C&C - Casa e Construção",carrinho.cec.com.br/carrinho
"Chico Rei",chicorei.com/carrinho
"Parceiro Ambev",
SheIn,br.shein.com/cart
Ebay,cart.ebay.com|pay.ebay.com/
"Sammy Dress",cart.sammydress.com/m-flow-a-cart.htm
YoyBuy,
Chefs,
"Somatodrol ",somatodrol.com/
"Thermo Slim",
GoDaddy,cart.godaddy.com
"Zavvi International",zavvi.com/my.basket
"Vivo Fibra",
CigaBuy,cigabuy.com/index.php?main_page=shopping_cart
"Shopping Marítimo",
Tripsta,tripsta.pt/voos-baratos/passageiros
"Meu Móvel de Madeira",
Scala,
Mash,mash.com.br/checkout/
"Folha Dirigida",folhadirigida.com.br/assinaturaStep
Cosme-de.com,uk.cosme-de.com/shopping-cart
HostelBookers,
Loungerie,www.loungerie.com.br/checkout#/cart
"Time Center",timecenter.com.br/checkout/
Weego,lojaweego.com.br/checkout/#/cart
Poeme-se,poemese.com/checkout/
"Toda Mulher",
"Educação Coletiva",
"Bee Fitness",beefitness.com.br/checkout
"Touch Watches",usotouch.com.br/checkout
"Tuning Parts",tuningparts.com.br/meu-carrinho/
iPED,
"Port Info",
AirBnb,
"Lojas Dione",
Constance,constance.com.br/checkout/
"Organize Shop",organizeshop.com.br/checkout
"Salomão Country",
Valisere,valisere.com.br/checkout/
BistroBox,
"Detecta Hotel",
"Freeday Skate Shop",
Sky,
"Concurso Virtual",
"Connect Parts",connectparts.com.br/checkout/
"Degrau Cultural",degraucultural.com.br/carrinho
"Casa do Skatista",
GearBest,cart.gearbest.com|gearbest.com/checkout/
Ray-Ban,ray-ban.com/brazil/cart/products
Weplann,
"Estela Geromini",
"Gifts n Ideas",
Fofostore,
Bijoulux,
Roncato,roncatobrasil.com.br/basket/|roncatobrasil.com.br/checkout
"Dress It",dressit.com.br/meu-carrinho/
"Lança Perfume",cart.lancaperfume.com.br/cart/products
FujiFilm,carrinho.lojafuji.com.br/
iCosméticos,
"Vivo Recarga",
"Lojas Pompéia",lojaspompeia.com/checkout/
Natura,fsssgrede.natura.net/sgadsacola|s.rede.natura.net/
"Extreme Life",
Cdiscount,
VVAtacado,carrinho.vvatacado.com.br/
"Tião Camaleão",
"6 Dollar Shirts",
Accuscore,
"Acronis International",
All-Battery.com,
AllBrands.com,
AllPosters.com,
Art.com,
ASMC,
HCC,
Bellacor,
"Best of Orlando",
"Best of Vegas",
"Bookbinders Design",
BustedTees,
"Cafe Britt",
CBazaar,
Clickatell,
Contiki,
"Daniel Wellington",
"Diamonds International",
DollarDays,
eBooks.com,
EdenFantasys,
Eyeglasses.com,
EyeSave.com,
Fashionesta,
"Ferrari Store",
"Fox Rent A Car",
FragranceShop.com,
FragranceX.com,
GamersGate,
GlassesShop.com,
"Green Man Gaming",greenmangaming.com/your-cart---order/
HalloweenCostumes.com,
HotelPlanner,
iCLIPART.com,
"Jamie Jacobs",
"Liquid Web",
"The London Pass",
Maclocks,
MAGIX,
"Manchester United",
MedexSupply,
Milanoo,milanoo.com/shop/Cart.html
MMOGA,
MRP.com,
muvee,
PandaHall,
PartyBell.com,
"Perfume Emporium",
Prestigia,
PrimeSport,
Pugster,
Rock.com,
Rosewe,
"Sheet Music Plus",
Tallmenshoes.com,
Testclear,
ThinkGeek,thinkgeek.com/brain/loot.cgi
"Ticket Liquidator",
Trendfabrik,
TRIWA,
"Trusted Tours",
Verseo,
WristWatch.com,
"West Marine",
"Worldwide Sport",
Loggi,
"Entertainment Earth",entertainmentearth.com/shoppingcart
"Brasil Camisaria",
Semrush,
Dara´s,
Gradiente,
"Abba Hotels",
Wholesale,asia-fashion-wholesale.com/welcome/index.php?_g=co&_a=shopping_cart
"Ayre Hoteles",
"Bahia Principe Hotels & Resorts",
"Be Live Hotels",
Casadellibro.com,casadellibro.com/modales/bolsaCompra
"Confortel Hoteles",
WebContinental,webcontinental.com.br/cart
Zattini,zattini.com.br/cart|zattini.com.br/checkout
"Dunas Hotels & Resorts",
"Energy Sistem Store",energysistem.com/es/checkout/cart/
"Evenia Hotels",
"Experiencias Xcaret",xperienciasxcaret.mx/ecom/
Avon,avonstore.com.br/checkout
"Magazine Você",
"Ovelha Negra Musical",ovelhanegramusical.com.br/carrinho/
"Sky tours",
Drusi,
99designs,
Allbeauty.com,allbeauty.com/gb/en/checkout
"Pop Decor",
"IOB Concursos",
FC-Moto,fc-moto.de/epages/fcm.sf/en_GB/
"H10 Hotels",
Myprotein,pt.myprotein.com/my.basket
Hoteles.net,
"Lace Wigs",lacewigsbuy.com/checkout/
WQsurf,
Motorola,motorola.com.br/checkout
FYI,fyistore.com.br/checkout/#/cart
"Sofia by Vix",
VIX,
"Sunglass Hut",sunglasshut.com/br/cart/
"Morena Rosa",morenarosa.com.br/checkout.aspx|morenarosa.com.br/basket
"Classic Tennis",classictennis.com.br/checkout/
"Coritiba Store",
"Versão Masculina",versaomasculina.com.br/basket
"UOL Host",
"Terra Loja Virtual",
"Terra Construtor de Sites",
MaxMilhas,maxmilhas.com.br/selecao-de-milhas
ShopFácil,
Nuuvem,secure.nuuvem.com/cart
BuyInCoins,
"Loja do Mecânico",lojadomecanico.com.br//carrinho.asp?acao=ver
Nespresso,nespresso.com/
Drogasil,drogasil.com.br/checkout/
Pichau,
"Bio Extratus - Escova Michel Mercier",
WBeer,
"B&H Photo Video",
"Onofre Esportes",www.onofreagora.com.br/esportes/carrinho.asp|www.onofreagora.com.br/esportes/pagamento.asp
"Descubra o Mundo",descubraomundo.com/pdv
Utilplast,utilplast.com.br/checkout/
"Leroy Merlin",leroymerlin.com.br/carrinho
"OFF Premium",offpremium.com.br/shop/offpremium/br/checkout|offpremium.com.br/checkout/
"Pink Gloss",
ComSchool,
"UW Casa das Cuecas",
"Mala Amada",
"Mercado Pago",mercadopago.com/mp-brasil/point/
Skyscanner,
Norton,
QÓculos,
Lumaê,lumae.com.br/index.php?spsr=checkout/
Nerdstore,
"Seguro Auto Fácil",
